id	site	dateTime	TP(µg/L)	TN(µg/L)	SRP(µgP/L)	PO4(µgP/L)	NH4(µgN/L)	NO3+NO2(µgN/L)	NO3(µgN/L)	NO2(µgN/L)	DOC(mgC/L)	depth_m	Comment
116	Langtjern	2014-12-08//13:51:00	3	260	NA	NA	4	NA	12	NA	12.5	NA	Zero_NO3_means_less_than_one;Zero_NH4_means_less_than_two;TOC_ASSUMED_TO_BE_DOC_FOLLOWING_DEWIT_ETAL_2096
117	Langtjern	2014-12-14//13:25:00	3	315	NA	NA	10	NA	12	NA	12.6	NA	Zero_NO3_means_less_than_one;Zero_NH4_means_less_than_two;TOC_ASSUMED_TO_BE_DOC_FOLLOWING_DEWIT_ETAL_2097
118	Langtjern	2014-12-22//15:09:00	4	425	NA	NA	14	NA	11	NA	13	NA	Zero_NO3_means_less_than_one;Zero_NH4_means_less_than_two;TOC_ASSUMED_TO_BE_DOC_FOLLOWING_DEWIT_ETAL_2098
119	Crampton	2013-05-14//08:50:00	12.76	439.0296581	5.82	NA	NA	NA	49.17	NA	4.92	NA	NA
120	Crampton	2013-05-21//09:41:00	14.31	570.9005764	3.87	NA	NA	NA	41.65	NA	4.775	NA	NA
121	Crampton	2013-05-27//12:04:00	10.12	398.904949	3.87	NA	NA	NA	52.79	NA	NA	NA	NA
122	Crampton	2013-06-04//10:00:00	8.32	359.5942913	3.72	NA	NA	NA	47.05	NA	4.285	NA	NA
123	Crampton	2013-06-19//14:15:00	12.03	296.879703	6.1	NA	NA	NA	98.89	NA	4.715	NA	NA
124	Crampton	2013-07-04//09:50:00	8.89	436.9684525	4.85	NA	NA	NA	104.9	NA	NA	NA	NA
125	Crampton	2013-08-02//15:15:00	9.77	405.7676667	1.76	NA	NA	NA	69.27	NA	5.605	NA	NA
126	Crampton	2013-09-14//10:15:00	11.14	303.7950172	2.98	NA	NA	NA	67.43	NA	3.62	NA	NA
127	Crampton	2013-07-23//12:30:00	13.56	589.6860494	5.47	NA	NA	NA	118.29	NA	3.965	NA	NA
128	EastLong	2013-05-15//09:30:00	26.87	453.2555215	7.31	NA	NA	NA	75.83	NA	9.68	NA	NA
129	EastLong	2013-05-22//11:26:00	19.42	548.1888837	5.07	NA	NA	NA	129.12	NA	11.415	NA	NA
130	EastLong	2013-05-29//10:15:00	15.39	512.4686478	6.57	NA	NA	NA	124.74	NA	10.37	NA	NA
131	EastLong	2013-06-05//10:45:00	15.2	499.2821714	4.47	NA	NA	NA	145.01	NA	10.845	NA	NA
132	EastLong	2013-06-12//10:05:00	14.92	594.0443641	14.44	NA	NA	NA	170.61	NA	11.82	NA	NA
133	EastLong	2013-06-19//09:00:00	17.5	552.0549747	1.87	NA	NA	NA	131.25	NA	11.56	NA	NA
134	EastLong	2013-06-26//09:30:00	14.77	468.0531023	5.79	NA	NA	NA	141.1	NA	11.135	NA	NA
135	EastLong	2013-07-03//09:25:00	12.6	382.878145	5.79	NA	NA	NA	141.19	NA	10.27	NA	NA
136	EastLong	2013-07-10//09:25:00	22.33	626.4577905	7.48	NA	NA	NA	164.66	NA	12.87	NA	NA
137	EastLong	2013-07-17//10:10:00	19.45	477.3691775	3.62	NA	NA	NA	170.63	NA	9.78	NA	NA
138	EastLong	2013-07-25//12:30:00	18.14	585.4892468	2.69	NA	NA	NA	156.94	NA	10.985	NA	NA
139	EastLong	2013-07-31//09:25:00	15.84	366.979118	7.33	NA	NA	NA	144.47	NA	10.265	NA	NA
140	EastLong	2013-08-06//15:00:00	23.01	571.0151766	13.2	NA	NA	NA	137.7	NA	12.165	NA	NA
141	EastLong	2013-08-14//09:53:00	17.23	452.9008258	3.62	NA	NA	NA	136.08	NA	5.535	NA	NA
142	EastLong	2013-09-14//09:12:00	18.44	567.2492654	5.63	NA	NA	NA	126.55	NA	9.97	NA	NA
143	Feeagh	2013-01-16//00:00:00	9	381	NA	NA	NA	NA	NA	NA	6.34712	NA	DOC_modelled_from_Abs
144	Feeagh	2013-02-19//00:00:00	NA	NA	NA	NA	NA	NA	NA	NA	5.24312	NA	DOC_modelled_from_Abs
145	Feeagh	2013-03-20//00:00:00	7	365	NA	NA	NA	NA	NA	NA	4.82912	NA	DOC_modelled_from_Abs
